refID,pos,ref,fA,fC,fG,fU,rA,rC,rG,rU,f_total,r_total,edited,unedited,rsedited,rsunedited,total,rstotal,editp,rseditp,binomial,bBH,refID_1,ref_1,fA_1,fC_1,fG_1,fU_1,rA_1,rC_1,rG_1,rU_1,f_total_1,r_total_1,edited_1,unedited_1,rsedited_1,rsunedited_1,total_1,rstotal_1,editp_1,rseditp_1,binomial_1,bBH_1,refID_2,ref_2,fA_2,fC_2,fG_2,fU_2,rA_2,rC_2,rG_2,rU_2,f_total_2,r_total_2,edited_2,unedited_2,rsedited_2,rsunedited_2,total_2,rstotal_2,editp_2,rseditp_2,binomial_2,bBH_2,refID_3,ref_3,fA_3,fC_3,fG_3,fU_3,rA_3,rC_3,rG_3,rU_3,f_total_3,r_total_3,edited_3,unedited_3,rsedited_3,rsunedited_3,total_3,rstotal_3,editp_3,rseditp_3,binomial_3,bBH_3
Phylloglossum_drummondii_cp_1kb,737,C,0,423,0,3057,0,0,22,0,3480,22,3057,423,0,22,3480,22,0.878448275862069,0.0,0.0,0.0,Phylloglossum_drummondii_cp_1kb,C,0,452,0,3523,0,0,23,0,3975,23,3523,452,0,23,3975,23,0.8862893081761006,0.0,0.0,0.0,Phylloglossum_drummondii_cp_1kb,C,0,46,0,270,0,0,5,0,316,5,270,46,0,5,316,5,0.8544303797468354,0.0,2.818457659040942e-297,3.053682320810524e-295,Phylloglossum_drummondii_cp_1kb,C,0,147,0,193,0,0,6,0,340,6,193,147,0,6,340,6,0.5676470588235294,0.0,1.9000041934578417e-155,1.869943094246795e-153
Phylloglossum_drummondii_cp_1kb,2178,C,0,430,0,8673,0,0,105,0,9103,105,8673,430,0,105,9103,105,0.952762825442162,0.0,0.0,0.0,Phylloglossum_drummondii_cp_1kb,C,0,373,0,11192,0,0,108,0,11565,108,11192,373,0,108,11565,108,0.967747514051016,0.0,0.0,0.0,Phylloglossum_drummondii_cp_1kb,C,0,464,0,9828,0,0,197,0,10292,197,9828,464,0,197,10292,197,0.9549164399533618,0.0,0.0,0.0,Phylloglossum_drummondii_cp_1kb,C,0,96,0,1424,0,0,55,0,1520,55,1424,96,0,55,1520,55,0.9368421052631579,0.0,0.0,0.0
Phylloglossum_drummondii_cp_1kb,2430,C,0,259,0,11715,0,0,92,0,11974,92,11715,259,0,92,11974,92,0.9783698012360114,0.0,0.0,0.0,Phylloglossum_drummondii_cp_1kb,C,0,187,0,11861,0,0,88,0,12048,88,11861,187,0,88,12048,88,0.9844787516600265,0.0,0.0,0.0,Phylloglossum_drummondii_cp_1kb,C,0,208,0,10961,0,0,107,0,11169,107,10961,208,0,107,11169,107,0.9813770256961232,0.0,0.0,0.0,Phylloglossum_drummondii_cp_1kb,C,0,90,0,1656,0,0,16,0,1746,16,1656,90,0,16,1746,16,0.9484536082474226,0.0,0.0,0.0
Phylloglossum_drummondii_cp_1kb,3241,C,0,1574,0,9658,0,0,221,0,11232,221,9658,1574,0,221,11232,221,0.8598646723646723,0.0,0.0,0.0,Phylloglossum_drummondii_cp_1kb,C,0,1616,0,11402,0,0,195,0,13018,195,11402,1616,0,195,13018,195,0.8758641880473191,0.0,0.0,0.0,Phylloglossum_drummondii_cp_1kb,C,0,1127,0,9833,0,0,236,0,10960,236,9833,1127,0,236,10960,236,0.8971715328467154,0.0,0.0,0.0,Phylloglossum_drummondii_cp_1kb,C,0,133,0,1436,0,0,35,0,1569,35,1436,133,0,35,1569,35,0.9152326322498406,0.0,0.0,0.0
Phylloglossum_drummondii_cp_1kb,3260,C,0,3458,0,7729,0,0,197,0,11187,197,7729,3458,0,197,11187,197,0.6908912130151068,0.0,0.0,0.0,Phylloglossum_drummondii_cp_1kb,C,0,2587,0,10706,0,0,186,0,13293,186,10706,2587,0,186,13293,186,0.8053862935379523,0.0,0.0,0.0,Phylloglossum_drummondii_cp_1kb,C,0,3311,0,7811,0,0,218,0,11122,218,7811,3311,0,218,11122,218,0.7023017442905952,0.0,0.0,0.0,Phylloglossum_drummondii_cp_1kb,C,0,1029,0,598,0,0,31,0,1627,31,598,1029,0,31,1627,31,0.36754763368162263,0.0,0.0,0.0
Phylloglossum_drummondii_cp_1kb,3262,C,0,2699,0,8602,0,0,200,0,11301,200,8602,2699,0,200,11301,200,0.7611715777364835,0.0,0.0,0.0,Phylloglossum_drummondii_cp_1kb,C,0,1922,0,11555,0,0,195,0,13477,195,11555,1922,0,195,13477,195,0.8573866587519478,0.0,0.0,0.0,Phylloglossum_drummondii_cp_1kb,C,0,2722,0,8560,0,0,223,0,11282,223,8560,2722,0,223,11282,223,0.7587307215032796,0.0,0.0,0.0,Phylloglossum_drummondii_cp_1kb,C,0,878,0,768,0,0,32,0,1646,32,768,878,0,32,1646,32,0.4665856622114216,0.0,0.0,0.0
Phylloglossum_drummondii_cp_1kb,3574,C,0,342,0,14851,0,0,186,0,15193,186,14851,342,0,186,15193,186,0.9774896333837951,0.0,0.0,0.0,Phylloglossum_drummondii_cp_1kb,C,0,242,0,14678,0,0,180,0,14920,180,14678,242,0,180,14920,180,0.9837801608579089,0.0,0.0,0.0,Phylloglossum_drummondii_cp_1kb,C,0,437,0,12921,0,0,202,0,13358,202,12921,437,0,202,13358,202,0.9672855217846983,0.0,0.0,0.0,Phylloglossum_drummondii_cp_1kb,C,0,542,0,1621,0,0,27,0,2163,27,1621,542,0,27,2163,27,0.749422098936662,0.0,0.0,0.0
Phylloglossum_drummondii_cp_1kb,3607,C,0,330,0,11461,0,0,194,0,11791,194,11461,330,0,194,11791,194,0.9720125519463998,0.0,0.0,0.0,Phylloglossum_drummondii_cp_1kb,C,0,192,0,11566,0,0,188,0,11758,188,11566,192,0,188,11758,188,0.9836706922946079,0.0,0.0,0.0,Phylloglossum_drummondii_cp_1kb,C,0,535,0,9980,0,0,187,0,10515,187,9980,535,0,187,10515,187,0.9491203043271517,0.0,0.0,0.0,Phylloglossum_drummondii_cp_1kb,C,0,805,0,965,0,0,29,0,1770,29,965,805,0,29,1770,29,0.5451977401129944,0.0,0.0,0.0
Phylloglossum_drummondii_cp_1kb,3974,C,0,1501,0,473,0,0,60,0,1974,60,473,1501,0,60,1974,60,0.23961499493414387,0.0,4.33001536173068e-179,2.0273630245764206e-177,Phylloglossum_drummondii_cp_1kb,C,0,1939,0,781,0,0,82,0,2720,82,781,1939,0,82,2720,82,0.28713235294117645,0.0,0.0,0.0,Phylloglossum_drummondii_cp_1kb,C,0,1175,0,265,0,0,78,0,1440,78,265,1175,0,78,1440,78,0.1840277777777778,0.0,1.5405182592794293e-74,1.5101270827358215e-72,Phylloglossum_drummondii_cp_1kb,C,0,277,0,86,0,0,23,0,363,23,86,277,0,23,363,23,0.2369146005509642,0.0,1.0580794148329347e-33,8.943757569815649e-32
Phylloglossum_drummondii_cp_1kb,5990,G,0,0,5824,0,0,321,0,6015,5824,6336,6015,321,0,5824,6336,5824,0.9493371212121212,0.0,0.0,0.0,Phylloglossum_drummondii_cp_1kb,G,0,0,6365,0,0,219,0,3922,6365,4141,3922,219,0,6365,4141,6365,0.9471142236174837,0.0,0.0,0.0,Phylloglossum_drummondii_cp_1kb,G,0,0,5135,0,0,281,0,3198,5135,3479,3198,281,0,5135,3479,5135,0.9192296636964645,0.0,0.0,0.0,Phylloglossum_drummondii_cp_1kb,G,0,0,570,0,0,157,0,1122,570,1279,1122,157,0,570,1279,570,0.8772478498827209,0.0,0.0,0.0
